country,date,CLI_diff,CLI_level,CPI_pct_change,INDPRO_pct_change,LTRATE_diff,LTRATE_level,UNEMP_diff,UNEMP_level,GDP_target,CLI_missing
FRA,1991-01-01,-0.18489999999999895,99.56152666666667,2.5794719523950294,-8.606040538610094,-0.8633333333333351,9.313333333333333,0.0,8.3,0.263117759,0.0
FRA,1991-04-01,0.1315100000000058,99.69303666666667,3.0180065549332724,-8.795106670608465,-0.336666666666666,8.976666666666667,0.16666666666666607,8.466666666666667,0.369289494,0.0
FRA,1991-07-01,-0.03546333333333962,99.65757333333333,3.2808509346244463,-32.41663627128065,0.08333333333333393,9.06,0.23333333333333428,8.700000000000001,0.405390693,0.0
FRA,1991-10-01,-0.15252999999999872,99.50504333333333,3.273717862965664,81.65893259878065,-0.25666666666666593,8.803333333333335,0.29999999999999893,9.0,0.482572593,0.0
FRA,1992-01-01,0.03125,99.53629333333333,1.7144435746794473,-8.367977486902934,-0.3000000000000007,8.503333333333334,0.20000000000000107,9.200000000000001,0.71522495,0.0
FRA,1992-04-01,-0.0530466666666598,99.48324666666667,2.6937639116366485,-11.905312989167893,0.16666666666666607,8.67,0.16666666666666607,9.366666666666667,0.112287906,0.0
FRA,1992-07-01,-0.5435100000000119,98.93973666666666,0.7981297569107593,-35.45260550293482,0.23000000000000043,8.9,0.13333333333333286,9.5,-0.114992705,0.0
FRA,1992-10-01,-1.0071266666666645,97.93261,2.033388180741813,74.42938203084226,-0.6333333333333329,8.266666666666667,0.20000000000000107,9.700000000000001,0.018967921,0.0
FRA,1993-01-01,-0.8122933333333293,97.12031666666667,2.818125413787076,-19.469867873683288,-0.5633333333333344,7.703333333333333,0.16666666666666607,9.866666666666667,-0.540271973,0.0
FRA,1993-04-01,-0.0734466666666691,97.04687,2.4407256253299314,-6.26321347347295,-0.583333333333333,7.12,0.2666666666666657,10.133333333333333,0.004748092,0.0
FRA,1993-07-01,0.5596999999999923,97.60656999999999,1.4113667439841882,-32.86953900213505,-0.71,6.41,0.2666666666666675,10.4,0.122494969,0.0
